INSAT-3D,INSAT-3D,"Centre Spatial Guyanais, Kourou"
GSAT-7 (INSAT-4F),GSAT-7,
Mars Orbiter Mission (MOM) (Mangalyaan-1),Mars Orbiter Mission Spacecraft,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-14,GSAT-14,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
IRNSS-1B,IRNSS-1B,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
IRNSS-1C,IRNSS-1C,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-16,GSAT-16,"Centre Spatial Guyanais, Kourou"
,Crew module Atmospheric Re-entry Experiment (CARE),
IRNSS-1D,IRNSS-1D,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-6 (INSAT-4E),GSAT-6,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
Astrosat,Astrosat,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-15,GSAT-15,"Centre Spatial Guyanais, Kourou"
IRNSS-1E,IRNSS-1E,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
IRNSS-1F,IRNSS-1F,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
IRNSS-1G,IRNSS-1G,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
Cartosat-2C,CARTOSAT-2 Series Satellite,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INSAT-3DR,INSAT-3DR,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
ScatSat-1,SCATSAT-1,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-18,GSAT-18,"Centre Spatial Guyanais, Kourou"
ResourceSat-2A,RESOURCESAT-2A,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INS-1A (ISRO Nano-Satellite 1A),INS-1B,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INS-1B (ISRO Nano-Satellite 1B),INS-1A,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
South Asia Satellite (GSAT-9),Cartosat -2 Series Satellite,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-19 (GSAT-19E),GSAT-9,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
NIUSat,GSAT-19,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
CartoSat-2E,Cartosat-2 Series Satellite,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-17,GSAT-1 7,"Centre Spatial Guyanais, Kourou"
IRNSS-1H,IRNSS-1H,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
CartoSat-2F,Cartosat-2 Series Satellite,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
MicroSat-TD,Microsat,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
INS-1C (ISRO Nano-Satellite 1C),INS-1C,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GSAT-6A[367],GSAT-6A,"Satish Dhawan Space Centre, Sriharikota"
IRNSS-1I,IRNSS-1I,"Satish Dhawan Space Centre, Sriharikota"
GSAT-29,GSAT-29,"Satish Dhawan Space Centre, Sriharikota"
HySIS,HysIS,"Satish Dhawan Space Centre, Sriharikota"
ExseedSat-1,GSAT-11 Mission,"Vandenberg Air Force Base, California"
GSAT-11,GSAT-7A,"Centre Spatial Guyanais, Kourou"
GSAT-7A,Microsat-R,"Satish Dhawan Space Centre, Sriharikota"
Microsat-R,GSAT-31,"Satish Dhawan Space Centre, Sriharikota"
PS4 Stage attached with KalamSAT-V2,EMISAT,"Satish Dhawan Space Centre, Sriharikota"
GSAT-31,RISAT-2B,"Centre Spatial Guyanais, Kourou"
EMISAT,Chandrayaan2,"Satish Dhawan Space Centre, Sriharikota"
"PS4 Stage attached with ExseedSat-2, AMSAT, ARIS and AIS payloads",Cartosat-3,
RISAT-2B,RISAT-2BR1,
Orbiter of Chandrayaan-2,GSAT-30,"Satish Dhawan Space Centre, Sriharikota"
Cartosat-3,EOS-01,"Satish Dhawan Space Centre, Sriharikota"
RISAT-2BR1,CMS-01,
GSAT-30,EOS-03,"Centre Spatial Guyanais, Kourou"
EOS-01 (RISAT-2BR2),EOS-04,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
CMS-01 (GSAT-12R),INS-2TD,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
Sindhu Netra,GSAT-24,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
Satish Dhawan Satellite (SDSat),EOS-02,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
JITSat,EOS-06,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
GHRCESat,INS-2B,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
Sri Shakthi Sat,Anand,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
EOS-03 (GISAT-1),Thybolt,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
EOS-04 (RISAT-1A),Thybolt,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
United States India Taiwan INSPIRESAT-1,EOS-07,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
India  Bhutan INS-2TD,NVS-01,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh"
CMS-02 (GSAT-24),Chandrayaan-3,"Centre Spatial Guyanais, Kourou"
,Aditya-L1,
